Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
1-portugalia,Moreirense FC,SC Braga,4.1,3.85,1.8,2.0,1.22,1.25,09.09. 19:00,2.0,2.0,3.0
1-niemcy,Bayern M.,Leverkusen,1.59,4.9,4.8,1.2,2.42,1.19,15.09. 20:30,0.0,2.0,2.0
1-belgia,Westerlo,Antwerp,5.2,4.2,1.58,2.32,1.15,1.21,15.09. 20:45,2.0,0.0,3.0
1-francja,PSG,Nice,1.5,4.8,6.0,1.14,2.67,1.2,15.09. 21:00,2.0,2.0,3.0
1-hiszpania,Vallecano,Alaves,1.97,3.3,4.4,1.23,1.9,1.36,15.09. 21:00,1.0,2.0,0.0
1-portugalia,Estrela Amadora,FC Porto,8.4,5.2,1.36,3.2,1.08,1.17,15.09. 20:15,2.0,0.0,1.0
1-niemcy,Freiburg,Dortmund,3.25,3.8,2.13,1.75,1.36,1.29,16.09. 15:30,2.0,2.0,4.0
1-niemcy,1.FC Koln,Hoffenheim,2.21,3.85,3.05,1.4,1.7,1.28,16.09. 15:30,2.0,1.0,3.0
1-niemcy,Mainz,VFB Stuttgart,2.6,3.6,2.65,1.51,1.53,1.31,16.09. 15:30,2.0,1.0,3.0
1-niemcy,Leipzig,Augsburg,1.25,6.8,11.0,1.06,4.2,1.12,16.09. 15:30,1.0,3.0,0.0
1-niemcy,Wolfsburg,Un. Berlin,2.27,3.45,3.2,1.37,1.66,1.33,16.09. 15:30,1.0,2.0,1.0
1-niemcy,Bochum,Eint.Frankfurt,2.95,3.65,2.33,1.63,1.42,1.3,16.09. 18:30,0.0,1.0,1.0
1-anglia,Wolverhampton,Liverpool,6.4,5.0,1.46,2.81,1.13,1.19,16.09. 13:30,2.0,1.0,3.0
1-anglia,Tottenham,Sheffield Utd.,1.28,6.2,10.0,1.06,3.85,1.13,16.09. 16:00,1.0,2.0,1.0
1-anglia,Fulham,Luton Town,1.65,4.1,5.4,1.18,2.33,1.26,16.09. 16:00,1.0,1.0,0.0
1-anglia,Aston Villa,Crystal Palace,1.91,3.75,4.0,1.27,1.94,1.29,16.09. 16:00,1.0,3.0,1.0
1-anglia,Man.United,Brighton,2.2,4.1,2.95,1.43,1.72,1.26,16.09. 16:00,2.0,1.0,3.0
1-anglia,West Ham,Man.City,6.2,4.7,1.5,2.67,1.14,1.21,16.09. 16:00,2.0,1.0,3.0
1-anglia,Newcastle,Brentford,1.53,4.3,6.4,1.13,2.57,1.23,16.09. 18:30,1.0,1.0,0.0
1-belgia,Molenbeek,Cercle Brugge,3.95,3.85,1.83,1.95,1.24,1.25,16.09. 16:00,1.0,2.0,1.0
1-belgia,St.Gilloise,Genk,1.95,3.65,3.65,1.27,1.83,1.27,16.09. 18:15,2.0,0.0,2.0
1-belgia,Club Brugge,Charleroi,1.42,4.9,6.6,1.1,2.81,1.17,16.09. 20:45,1.0,4.0,2.0
1-francja,Rennes,Lille,2.16,3.7,3.25,1.36,1.73,1.3,16.09. 17:00,0.0,2.0,2.0
1-francja,Lens,Metz,1.51,4.6,6.2,1.14,2.64,1.21,16.09. 21:00,2.0,0.0,1.0
1-hiszpania,Bilbao,Cadiz,1.55,4.1,6.6,1.12,2.53,1.26,16.09. 14:00,1.0,3.0,0.0
1-hiszpania,Valencia,Atl. Madryt,3.8,3.4,2.08,1.8,1.29,1.34,16.09. 16:15,1.0,3.0,0.0
1-hiszpania,Celta Vigo,Mallorca,2.0,3.25,4.3,1.24,1.85,1.37,16.09. 18:30,2.0,0.0,1.0
1-hiszpania,Barcelona,Betis,1.39,5.2,7.8,1.1,3.1,1.18,16.09. 21:00,1.0,5.0,0.0
1-holandia,Feyenoord,Heerenveen,1.23,6.6,11.0,1.04,4.15,1.11,16.09. 16:30,1.0,6.0,1.0
1-holandia,Vitesse Arnhem,Waalwijk,1.51,4.5,5.6,1.13,2.5,1.19,16.09. 18:45,2.0,0.0,2.0
1-holandia,Sittard,FC Volendam,1.62,4.2,4.9,1.17,2.26,1.22,16.09. 20:00,1.0,3.0,1.0
1-holandia,PSV Eindhoven,Nijmegen,1.16,7.8,14.0,1.01,5.0,1.07,16.09. 20:00,1.0,4.0,0.0
1-holandia,Heracles,Utrecht,2.55,3.45,2.65,1.47,1.5,1.3,16.09. 21:00,2.0,1.0,3.0
1-portugalia,Rio Ave,FC Famalicao,2.55,3.25,2.75,1.43,1.49,1.32,16.09. 16:30,0.0,1.0,1.0
1-portugalia,Farense,SC Braga,4.6,3.9,1.7,2.11,1.18,1.24,16.09. 19:00,1.0,3.0,1.0
1-portugalia,FC Vizela,SL Benfica,8.0,5.4,1.34,3.2,1.07,1.15,16.09. 21:30,2.0,1.0,2.0
1-niemcy,Heidenheim,Werder B.,2.5,3.9,2.7,1.52,1.6,1.3,17.09. 15:30,1.0,4.0,2.0
1-niemcy,Darmstadt 98,M gladbach,2.6,3.7,2.65,1.53,1.54,1.31,17.09. 17:30,0.0,3.0,3.0
1-anglia,Bournemouth,Chelsea,4.6,4.2,1.74,2.2,1.23,1.26,17.09. 15:00,0.0,0.0,0.0
1-anglia,Everton,Arsenal,6.0,4.6,1.56,2.6,1.16,1.23,17.09. 17:30,2.0,0.0,1.0
1-belgia,Eupen,St.Liege,3.05,3.55,2.3,1.64,1.39,1.31,17.09. 13:30,2.0,1.0,3.0
1-belgia,Kortrijk,Anderlecht,5.2,4.3,1.61,2.35,1.17,1.23,17.09. 16:00,0.0,2.0,2.0
1-belgia,Leuven,Gent,4.2,4.0,1.77,2.05,1.23,1.25,17.09. 18:30,0.0,1.0,1.0
1-belgia,Truidense,Mechelen,2.47,3.4,2.85,1.43,1.55,1.32,17.09. 19:15,1.0,2.0,0.0
1-francja,Lorient,Monaco,4.6,4.0,1.77,2.14,1.23,1.28,17.09. 13:00,0.0,2.0,2.0
1-francja,Strasbourg,Montpellier,2.7,3.45,2.7,1.51,1.51,1.35,17.09. 15:00,0.0,2.0,2.0
1-francja,Clermont,Nantes,1.97,3.65,4.0,1.28,1.91,1.32,17.09. 15:00,2.0,0.0,1.0
1-francja,Reims,Brest,1.96,3.65,4.1,1.28,1.93,1.33,17.09. 15:00,2.0,1.0,2.0
1-francja,Marseille,Toulouse,1.51,5.0,6.4,1.14,2.81,1.2,17.09. 17:05,0.0,0.0,0.0
1-francja,Lyon,Le Havre,1.7,4.2,4.7,1.21,2.22,1.25,17.09. 20:45,0.0,0.0,0.0
1-hiszpania,Getafe,Osasuna,2.75,2.85,3.1,1.4,1.48,1.46,17.09. 14:00,1.0,3.0,2.0
1-hiszpania,Villarreal,Almeria,1.47,5.2,6.2,1.15,2.83,1.19,17.09. 16:15,1.0,2.0,1.0
1-hiszpania,FC Sevilla,UD L.Palmas,1.64,3.85,6.2,1.15,2.38,1.3,17.09. 18:30,1.0,1.0,0.0
1-hiszpania,Real M.,Real Sociedad,1.67,4.0,5.2,1.18,2.26,1.26,17.09. 21:00,1.0,2.0,1.0
1-holandia,Zwolle,G.A.Eagles,2.31,3.55,3.0,1.4,1.63,1.31,17.09. 12:15,0.0,1.0,1.0
